hts,desc
73201030,"Iron or steel, leaf springs and leaves therefore, to be used in motor vehicles having a G.V.W. not exceeding 4 metric tons"
73201060,"Iron or steel, leaf springs and leaves therefore, suitable for motor vehicle suspension (other than for motor vehicles with a G.V.W. over 4 metric tons)"
73201090,"Iron or steel, leaf springs and leaves therefore, not suitable for motor vehicle suspension"
73202010,"Iron or steel, helical springs, suitable for motor-vehicle suspension"
73202050,"Iron or steel, helical springs (other than suitable for motor-vehicle suspension)"
73209010,"Iron or steel, hairsprings"
73209050,"Iron or steel, springs (other than leaf springs, helical springs or hairsprings)"
73259100,"Iron or steel, cast grinding balls and similar articles for mills"
7325100010,"Manhole covers, rings and frames of nonmalleable cast iron"
7325100020,"Nonmalleable cast iron catch basins, grates and frames"
7325100025,"Nonmalleable cast iron, cleanout covers and frames"
7325100030,"Nonmalleable cast iron, valves and service boxes"
7325100080,"Other nonmalleable cast iron, nesoi"
73259910,"Grinding balls and similar articles for mills, of cast iron"
73259950,"Steel, cast articles nesoi"
73261100,"Iron or steel, forged or stamped grinding balls and similar articles for mills"
73261900,"Iron or steel, articles forged or stamped but not further worked, nesoi"
7326200090,"Articles of iron or steel wire, nesoi"
73269010,"Tinplate, articles nesoi"
73269025,"Iron or steel, cable or inner wire for caliper and cantilever brakes and casing therefore, whether or not cut to length"
73269060,"Iron or steel, articles nesoi, coated or plated with precious metal"
7326908605,"Rods for electrical grounding, of iron or steel"
7326908610,Laminated goods consisting of two or more flat-rolled sheets of iron or steel held together with adhesive or having a core of nonmetallic material
7326908630,"Hangers and similar supports for tubes and pipes, of iron or steel"
7326908635,"Other articles of iron or steel, fence posts with corrugations, knobs, stubs, notches, similar protrusions, with or without anchor plates"
7326908645,"Other articles of iron or steel, barbed tape"
7326908688,"Articles of iron or steel, nesoi 8"
76141010,"Aluminum, stranded wire, cables and the like with steel core, not electrically insulated, not fitted with fittings and not made up into articles 9 Aluminum Description"
7601,"Aluminum, unwrought"
7604,"Aluminum bars, rods and profiles"
7605,Aluminum wire
7606,"Aluminum plates, sheets and strip, over 0.2 mm (0.0079 in.) thick"
7607,"Aluminum foil (whether or not printed or backed with paper or other backing materials), not over 0.2 mm (0.0079 in.) thick (excluding any backing)"
7608,Aluminum tubes and pipes
7609,"Aluminum tube or pipe fittings (including couplings, elbows, and sleeves)"
7616995160,Aluminum castings
7616995170,Aluminum forgings
7308200035,"Towers and lattice masts of iron or steel, tubular wind turbine towers, whether or not tapered, and sectional components thereof"
76101000,"Aluminum, doors, windows and their frames and thresholds for doors"
76109000,"Aluminum, structures and parts of structures, nesoi; aluminum plates, rods, profiles, tubes and the like prepared for use in structures"
7612100000,Aluminum collapsible tubular containers of a capacity not over 300 l
76129010,"Aluminum, casks, drums and like containers, for any material (other than compressed or liquefied gas), with a capacity not over 20 l, not fitted with mechanical or thermal equipment"
7612905000,"Aluminum containers, nesoi"
7613000000,Aluminum containers for compressed or liquefied gas
76141010,"Aluminum, stranded wire, cables and the like with steel core, not electrically insulated, not fitted with fittings and not made up into articles"
76141050,"Aluminum, stranded wire, cables and the like with steel core, not electrically insulated, fitted with fittings or made up into articles"
76149020,"Aluminum, electrical conductors of stranded wire, cables and the like (other than with steel core), not electrically insulated, not fitted with fittings or articles"
76149040,"Aluminum, stranded wire, cables and the like (other than electrical conductors or with steel core), not electrically insulated, not fitted with fittings or articles"
76149050,"Aluminum, stranded wire, cables and the like (other than with steel core), not electrically insulated, fitted with fittings or made up into articles"
7616109090,"Aluminum articles not having shanks, threads or holes over 6 mm in diameter"
7616995120,Laminated goods consisting of two or more flat-rolled sheets of aluminum held together with adhesive or having a core of nonmetallic material 10
7616995150,Aluminum hangers and supports for pipes and tubes
7616995175,Articles of aluminum wire
7616995190,"Articles of aluminum, nesoi"
74061000,"Copper, powders of non-lamellar structure"
74062000,"Copper, powders of lamellar structure; copper flakes"
74071015,"Refined copper, hollow profiles"
74071030,"Refined copper, profiles (other than hollow profiles)"
74071050,"Refined copper, bars and rods"
74072115,"Copper-zinc base alloys (brass), hollow profiles"
74072130,"Copper-zinc base alloys (brass), profiles (other than hollow profiles)"
74072150,"Copper-zinc base alloys (brass), low-fuming brazing rods"
74072170,"Copper-zinc base alloys (brass), bars and rods nesoi, having a rectangular cross section"
