hts,desc
84335100,Combine harvester-threshers
84335900,"Harvesting machinery or threshing machinery, nesoi"
84339010,"Parts of mowers for lawns, parks or sports grounds"
84339050,"Parts for machinery of heading 8433, nesoi"
84431600,Flexographic printing machinery
84501100,"Household- or laundry-type washing machines, each of a dry linen capacity not exceeding 10 kg, fully automatic"
84502000,"Household- or laundry-type washing machines, each of a dry linen capacity exceeding 10 kg"
84512100,"Drying machines, each of a dry linen capacity not exceeding 10 kg"
84512900,"Drying machines for yarns, fabrics or made up textile articles, each of a dry linen capacity exceeding 10 kg"
84798955,"Electromechanical appliances with self-contained electric motor, trash compactors"
84798965,"Machines and mechanical appliances having individual functions, other"
84799045,Parts of machines and mechanical appliances
84799055,"Parts of trash compactors, ram assemblies"
84799065,"Parts of trash compactors, container assemblies"
84799075,Parts of machines and mechanical appliances
84799085,Parts of machines and mechanical appliances
8482105004,Unground bearings 19
8482105008,Thrust ball bearings
8482105012,Linear ball bearings
8482105016,"Angular contact bearings, wheel hub units, flanged"
8482105024,"Angular contact bearings, wheel hub units, other than flanged"
8482105028,"Angular contact ball bearings, nesoi"
8482105032,"Radial bearings, single row, maximum or full capacity type"
8482105036,"Radial bearings, single row, having an outside diameter of under 9 mm"
8482105052,"Radial bearings, single row, having an outside diameter of over 52 mm but not over 100 mm"
8482105056,"Radial bearings, single row, having an outside diameter of over 100 mm"
8482105060,"Ball bearings, double row, radial"
8482105064,"Radial ball bearings, nesoi"
8482105068,"Ball bearings, nesoi"
8482200064,"Tapered roller bearings, cup and cone assemblies entered as a set, with cups having an outside diameter exceeding 203 mm but not exceeding 305 mm"
8482200067,"Tapered roller bearings, cup and cone assemblies entered as a set, exceeding 305 mm"
8482200090,"Tapered roller bearings, cone assemblies entered separately, exceeding 203 mm"
84829905,Inner or outer rings or races for ball bearings
84829915,Inner or outer rings or races for taper roller bearings
84829925,"Inner or outer rings or races for other bearings, nesoi"
84829935,"Parts of ball bearings (including parts of ball bearings with integral shafts), nesoi"
84829945,"Parts of tapered roller bearings, nesoi"
84829965,"Parts of other ball or roller bearings, nesoi"
8483101010,"Transmission shafts, of iron or steel"
8483101050,"Transmission shafts, of iron or steel"
84831050,"Transmission shafts, other"
84832040,"Housed bearings of the flange, take-up, cartridge and hanger unit type (incorporating ball or roller bearings)"
84832080,"Housed bearings (incorporating ball or roller bearings), nesoi"
84833040,"Bearing housings, not incorporating ball or roller bearings"
84833080,"Bearing housings, other"
84834010,Gears and gearing
8483405020,"Gear boxes and speed changers for wind turbines, as described in statistical note 6 to chapter 84 of the HTSUS"
84834090,"Gears and gearing, other"
84835060,Flywheels and pulleys
84835090,"Flywheels and pulleys, other"
84836040,Clutches and shaft couplings
84839030,"Parts of transmission shafts, gears and gearing"
84839050,Parts of flywheels and pulleys
84839070,Parts of articles of subheading 8483.20 20
84839080,"Parts, other"
85015360,"AC motors, multi-phase, of an output exceeding 375 kW"
85015380,"Ac motors nesoi, multi-phase, of an output exceeding 150 kW"
8501640110,For wind-powered generating sets classified within heading 8502.31.00
85023100,"Electric generating sets, wind-powered"
85030035,"Parts of electric motors under 18.65 W, stators and rotors"
85030065,"Stators and rotors for electric motors and generators of heading 8501, nesoi"
85030075,"Parts of electric motors under 18.65 W, other than commutators, stators or rotors"
85030095,"Other parts, nesoi, suitable for use solely or principally with the machines in headings 8501 or 8502"
85042100,Liquid dielectric transformers having a power-handling capacity not exceeding 650 kVA
85042200,"Liquid dielectric transformers having a power-handling capacity exceeding 650 kVA but not exceeding 10,000 kVA"
85043200,"Electrical transformers other than liquid dielectric, having a power-handling capacity exceeding 1 kVA but not exceeding 16 kVA"
85043300,"Electrical transformers other than liquid dielectric, having a power-handling capacity exceeding 16 kVA but not exceeding 500 kVA"
8504909634,"Laminations for incorporation into stacked cores, transformer parts"
8504909638,Stacked cores for incorporation into transformer parts
8504909642,Wound cores for incorporation into transformer parts
85098020,"Electromechanical kitchen waste disposers (disposals), with self-contained electric motor, for domestic uses"
85142040,"Industrial or laboratory electric furnaces and ovens, other"
85142060,"Industrial or laboratory microwave ovens, nesoi"
85162900,"Electric space-heating apparatus and electric soil-heating apparatus, other than storage-heating radiators"
85166040,"Electrothermic cooking stoves, ranges and ovens (excluding microwave ovens), of a kind used for domestic purposes"
85166060,"Electrothermic cookers, cooking plates, boiling rings, grillers and roasters, nesoi, of a kind used for domestic purposes"
85479000,"Electrical conduit tubing and joints therefor, of base metal lined with insulating material; insulating fittings for electrical goods nesoi"
86011000,Rail locomotives powered from an external source of electricity
86012000,Rail locomotives powered by electric accumulators (batteries)
86021000,Diesel-electric locomotives
86029000,"Rail locomotives (other than diesel-electric), non-electric; locomotive tenders"
86031000,"Self-propelled railway or tramway coaches, vans and trucks (other than those of heading 8604), powered from an external source of electricity"
86039000,"Self-propelled railway or tramway coaches, vans and trucks (other than those of heading 8604), other than powered from an external source of electricity"
86040000,"Railway or tramway maintenance or service vehicles, whether or not self- propelled 21"
86050000,"Railway or tramway passenger coaches and special-purpose railway or tramway coaches, not self-propelled"
86061000,"Railway or tramway tank cars, not self-propelled"
86071100,"Parts of railway or tramway locomotives or rolling stock, truck assemblies for self-propelled vehicles"
86071903,Axles for railway or tramway locomotives or rolling stock
86071906,"Parts of railway or tramway locomotives or rolling stock, parts of axles"
86071912,"Parts of railway or tramway locomotives or rolling stock, wheels, whether or not fitted with axles"
86071915,"Parts of railway or tramway locomotives or rolling stock, parts of wheels"
86071990,"Parts of railway or tramway locomotives or rolling stock, parts of truck assemblies for self-propelled vehicles or for non-self-propelled stock nesoi"
86072150,"Parts of railway or tramway locomotives or rolling stock, air brakes and parts thereof for self-propelled vehicles or non-self-propelled stock nesoi"
8607301010,Assembled freight rail couplers
8607301050,Freight rail coupler parts
8607301090,Assembled freight rail couplers
86073050,"Parts of railway or tramway locomotives or rolling stock, hooks and other coupling devices, buffers, parts thereof, for stock of headings 8601 to 8605"
86079100,"Parts, nesoi, of railway or tramway locomotives"
86079950,"Parts, nesoi, of railway or tramway rolling stock, nesoi"
86090000,Containers (including containers for the transport of fluids) specially designed and equipped for carriage by one or more modes of transport
87011001,"Single-axle tractors, other than tractors of heading 8709"
8701210080,"Road tractors for semi-trailers, compression ignition engine, used"
8701220080,"Road tractors for semi-trailers, compression ignition engine and electric motor, used"
8701230080,"Road tractors for semi-trailers, spark ignition engine and electric motor, used"
8701240080,"Road tractors for semi-trailers, electric motor, used"
8701290080,"Road tractors for semi-trailers, used, nesoi"
87013010,"Track-laying tractors, suitable for agricultural use"
87013050,"Track-laying tractors, not suitable for agricultural use"
