hts8,s232_rate,category
7317005501,50.0,Steel-Derivative
7317005502,50.0,Steel-Derivative
7317005508,50.0,Steel-Derivative
7317005511,50.0,Steel-Derivative
7317005518,50.0,Steel-Derivative
7317005519,50.0,Steel-Derivative
7317005520,50.0,Steel-Derivative
7317005530,50.0,Steel-Derivative
7317005540,50.0,Steel-Derivative
7317005550,50.0,Steel-Derivative
7317005570,50.0,Steel-Derivative
7317005590,50.0,Steel-Derivative
7317006530,50.0,Steel-Derivative
7216910010,50.0,Steel-Derivative
7302909000,50.0,Steel-Derivative
73071930,50.0,Steel-Derivative
73071990,50.0,Steel-Derivative
84313100,50.0,Steel-Derivative
84314200,50.0,Steel-Derivative
84314910,50.0,Steel-Derivative
84314990,50.0,Steel-Derivative
84321000,50.0,Steel-Derivative
84329000,50.0,Steel-Derivative
85479000,50.0,Steel-Derivative
94059920,50.0,Steel-Derivative
94059940,50.0,Steel-Derivative
94062000,50.0,Steel-Derivative
94069001,50.0,Steel-Derivative
84183000,50.0,Steel-Derivative
84184000,50.0,Steel-Derivative
84221100,50.0,Steel-Derivative
84502000,50.0,Steel-Derivative
84512900,50.0,Steel-Derivative
85098020,50.0,Steel-Derivative
85166040,50.0,Steel-Derivative
82119120,50.0,Steel-Derivative
84291100,50.0,Steel-Derivative
85042300,50.0,Steel-Derivative
82119125,50.0,Steel-Derivative
84291900,50.0,Steel-Derivative
82119130,50.0,Steel-Derivative
84292000,50.0,Steel-Derivative
8504909634,50.0,Steel-Derivative
82119140,50.0,Steel-Derivative
84293000,50.0,Steel-Derivative
8504909638,50.0,Steel-Derivative
82119150,50.0,Steel-Derivative
84294000,50.0,Steel-Derivative
8504909642,50.0,Steel-Derivative
2711120020,50.0,Steel-Derivative
82119180,50.0,Steel-Derivative
84295110,50.0,Steel-Derivative
85142040,50.0,Steel-Derivative
2804290010,50.0,Steel-Derivative
82119220,50.0,Steel-Derivative
84295150,50.0,Steel-Derivative
85142060,50.0,Steel-Derivative
2804400000,50.0,Steel-Derivative
82119240,50.0,Steel-Derivative
84295210,50.0,Steel-Derivative
85162900,50.0,Steel-Derivative
2901220000,50.0,Steel-Derivative
82119260,50.0,Steel-Derivative
84295250,50.0,Steel-Derivative
85166060,50.0,Steel-Derivative
2903421000,50.0,Steel-Derivative
82119290,50.0,Steel-Derivative
84295910,50.0,Steel-Derivative
86011000,50.0,Steel-Derivative
82119300,50.0,Steel-Derivative
84295950,50.0,Steel-Derivative
86012000,50.0,Steel-Derivative
29034410,50.0,Steel-Derivative
82119410,50.0,Steel-Derivative
84312000,50.0,Steel-Derivative
86021000,50.0,Steel-Derivative
82119450,50.0,Steel-Derivative
84313900,50.0,Steel-Derivative
86029000,50.0,Steel-Derivative
82119510,50.0,Steel-Derivative
84314100,50.0,Steel-Derivative
86031000,50.0,Steel-Derivative
82119550,50.0,Steel-Derivative
84314340,50.0,Steel-Derivative
86039000,50.0,Steel-Derivative
82119590,50.0,Steel-Derivative
84314380,50.0,Steel-Derivative
86040000,50.0,Steel-Derivative
2903710100,50.0,Steel-Derivative
82151000,50.0,Steel-Derivative
84331100,50.0,Steel-Derivative
86050000,50.0,Steel-Derivative
82152000,50.0,Steel-Derivative
84332000,50.0,Steel-Derivative
86071100,50.0,Steel-Derivative
82159130,50.0,Steel-Derivative
84335100,50.0,Steel-Derivative
8607190300,50.0,Steel-Derivative
82159160,50.0,Steel-Derivative
84335900,50.0,Steel-Derivative
86071906,50.0,Steel-Derivative
82159190,50.0,Steel-Derivative
84339010,50.0,Steel-Derivative
86071912,50.0,Steel-Derivative
82159901,50.0,Steel-Derivative
84339050,50.0,Steel-Derivative
86071915,50.0,Steel-Derivative
82159905,50.0,Steel-Derivative
86071990,50.0,Steel-Derivative
82159910,50.0,Steel-Derivative
8454200010,50.0,Steel-Derivative
86072150,50.0,Steel-Derivative
82159915,50.0,Steel-Derivative
8454200060,50.0,Steel-Derivative
8607301010,50.0,Steel-Derivative
82159920,50.0,Steel-Derivative
84553000,50.0,Steel-Derivative
8607301050,50.0,Steel-Derivative
82159922,50.0,Steel-Derivative
8455904000,50.0,Steel-Derivative
8607301090,50.0,Steel-Derivative
82159924,50.0,Steel-Derivative
8455908000,50.0,Steel-Derivative
86073050,50.0,Steel-Derivative
82159926,50.0,Steel-Derivative
84571000,50.0,Steel-Derivative
86079100,50.0,Steel-Derivative
82159930,50.0,Steel-Derivative
84749000,50.0,Steel-Derivative
86079950,50.0,Steel-Derivative
82159935,50.0,Steel-Derivative
84771030,50.0,Steel-Derivative
86090000,50.0,Steel-Derivative
82159940,50.0,Steel-Derivative
84771040,50.0,Steel-Derivative
87011001,50.0,Steel-Derivative
82159945,50.0,Steel-Derivative
84771090,50.0,Steel-Derivative
8701210080,50.0,Steel-Derivative
82159950,50.0,Steel-Derivative
84779025,50.0,Steel-Derivative
8701220080,50.0,Steel-Derivative
83021060,50.0,Steel-Derivative
8477908601,50.0,Steel-Derivative
8701230080,50.0,Steel-Derivative
83024130,50.0,Steel-Derivative
84798955,50.0,Steel-Derivative
8701240080,50.0,Steel-Derivative
83024160,50.0,Steel-Derivative
84798965,50.0,Steel-Derivative
8701290080,50.0,Steel-Derivative
83024230,50.0,Steel-Derivative
84799045,50.0,Steel-Derivative
87013010,50.0,Steel-Derivative
83024960,50.0,Steel-Derivative
84799055,50.0,Steel-Derivative
87013050,50.0,Steel-Derivative
83052000,50.0,Steel-Derivative
84799065,50.0,Steel-Derivative
87019110,50.0,Steel-Derivative
83071060,50.0,Steel-Derivative
84799075,50.0,Steel-Derivative
87019150,50.0,Steel-Derivative
8401400000,50.0,Steel-Derivative
84799085,50.0,Steel-Derivative
87019210,50.0,Steel-Derivative
84031000,50.0,Steel-Derivative
84799095,50.0,Steel-Derivative
87019250,50.0,Steel-Derivative
8406904000,50.0,Steel-Derivative
8480490010,50.0,Steel-Derivative
87019310,50.0,Steel-Derivative
84072100,50.0,Steel-Derivative
8480718045,50.0,Steel-Derivative
87019350,50.0,Steel-Derivative
84079010,50.0,Steel-Derivative
8480718060,50.0,Steel-Derivative
87019410,50.0,Steel-Derivative
84079090,50.0,Steel-Derivative
8480799010,50.0,Steel-Derivative
87019450,50.0,Steel-Derivative
84082010,50.0,Steel-Derivative
8482105004,50.0,Steel-Derivative
87019510,50.0,Steel-Derivative
84082090,50.0,Steel-Derivative
8482105008,50.0,Steel-Derivative
87019550,50.0,Steel-Derivative
84099150,50.0,Steel-Derivative
8482105012,50.0,Steel-Derivative
87021031,50.0,Steel-Derivative
84099192,50.0,Steel-Derivative
8482105016,50.0,Steel-Derivative
87021061,50.0,Steel-Derivative
84099199,50.0,Steel-Derivative
8482105024,50.0,Steel-Derivative
87031010,50.0,Steel-Derivative
84099991,50.0,Steel-Derivative
8482105028,50.0,Steel-Derivative
87031050,50.0,Steel-Derivative
84099992,50.0,Steel-Derivative
8482105032,50.0,Steel-Derivative
87032101,50.0,Steel-Derivative
84099999,50.0,Steel-Derivative
8482105036,50.0,Steel-Derivative
87051000,50.0,Steel-Derivative
8410900000,50.0,Steel-Derivative
8482105052,50.0,Steel-Derivative
87052000,50.0,Steel-Derivative
84118180,50.0,Steel-Derivative
