HTS,clean_hts,Heading,s301_rate
0303.24.00,03032400,9903.88.03,25.0
0303.25.01,03032501,9903.88.03,25.0
0303.26.00,03032600,9903.88.03,25.0
0303.29.01,03032901,9903.88.03,25.0
0303.31.00,03033100,9903.88.03,25.0
0303.32.00,03033200,9903.88.03,25.0
0303.33.00,03033300,9903.88.03,25.0
0303.34.00,03033400,9903.88.03,25.0
0303.39.01,03033901,9903.88.03,25.0
0303.41.00,03034100,9903.88.03,25.0
0303.42.00,03034200,9903.88.03,25.0
0303.43.00,03034300,9903.88.03,25.0
0303.44.00,03034400,9903.88.03,25.0
0303.45.01,03034501,9903.88.03,25.0
0303.46.00,03034600,9903.88.03,25.0
0303.49.02,03034902,9903.88.03,25.0
0303.51.00,03035100,9903.88.03,25.0
0303.53.00,03035300,9903.88.03,25.0
0303.54.00,03035400,9903.88.03,25.0
0303.55.00,03035500,9903.88.03,25.0
0303.56.00,03035600,9903.88.03,25.0
0303.57.00,03035700,9903.88.03,25.0
0303.59.00,03035900,9903.88.03,25.0
0303.63.00,03036300,9903.88.03,25.0
0303.64.00,03036400,9903.88.03,25.0
0303.65.00,03036500,9903.88.03,25.0
0303.66.00,03036600,9903.88.03,25.0
0303.67.00,03036700,9903.88.03,25.0
0303.68.00,03036800,9903.88.03,25.0
0303.81.00,03038100,9903.88.03,25.0
0303.82.00,03038200,9903.88.03,25.0
0303.83.00,03038300,9903.88.03,25.0
0303.84.00,03038400,9903.88.03,25.0
0303.89.00,03038900,9903.88.03,25.0
0303.91.20,03039120,9903.88.03,25.0
0303.91.40,03039140,9903.88.03,25.0
0303.92.00,03039200,9903.88.03,25.0
0303.99.00,03039900,9903.88.03,25.0
0304.31.00,03043100,9903.88.03,25.0
0304.32.00,03043200,9903.88.03,25.0
0304.33.00,03043300,9903.88.03,25.0
0304.39.00,03043900,9903.88.03,25.0
0304.41.00,03044100,9903.88.03,25.0
0304.42.00,03044200,9903.88.03,25.0
0304.43.00,03044300,9903.88.03,25.0
0304.44.00,03044400,9903.88.03,25.0
0304.45.00,03044500,9903.88.03,25.0
0304.46.00,03044600,9903.88.03,25.0
0304.47.00,03044700,9903.88.03,25.0
